id,title,overview,genres,tags,poster_path,release_date
408,백설공주와 일곱 난쟁이,"아주 먼 옛날, 왕비는 뱃속의 아이가 눈처럼 하얀 피부에 사과처럼 붉은 입술, 장미빛 뺨을 지닌 공주이기를 빌었다. 드디어 왕비는 예쁜 공주를 낳고 그녀를 백설공주라 불렀다. 백설공주는 모든 사람들의 사랑을 받으며 자라났지만 왕비가 죽고 새로 들어온 계모가 여왕이 되자 혹독한 시달림을 받는다. 계모에게는 신비로운 마술 거울이 있었는데, 어느 날 여왕이 세상에서 가장 아름다운 사람은 누구냐고 질문하자 마술 거울은 백설공주라고 대답한다. 분노한 여왕은 사냥꾼을 불러 백설공주를 죽이도록 명령하지만, 사냥꾼은 백설공주의 순수한 마음씨에 감동하여 그녀를 죽이는 대신 계모를 피해서 도망치도록 일러주는데...",판타지 애니메이션 가족,witch dying and death princess becoming an adult dwarf poison sadness,https://image.tmdb.org/t/p/w500/xTEtTPgVwuOt7lnKVBJKZahmKdK.jpg,1938
10895,피노키오,인형 제작자인 제페토는 별을 바라보면서 남자 아이 인형인 피토키오가 정말 사람이 되었으면 하고 기원한다. 그 날 밤 푸른 요정이 제페토의 작업장에 나타나 피노키오에게 아직은 인형 모습 그대로이지만 살아서 움직이게 만든다. 요정은 피노키오에게 그가 용감하고 비이기적이고 진실함을 증명할 수 있다면 그가 진짜 소년이 될 것이라 이야기한다. 피노키오의 첫 번째 시련은 제페토가 피노키오를 학교에 보내면서 닥친다. 학교로 가는 도중 피노키오는 워딩톤 파울펠로라는 이름의 교활한 여우를 만난다. 그와 그의 동료인 기데온은 피노키오가 학교를 때려치우고 연극계로 진출토록 설득하는데...,애니메이션 가족 판타지,rescue sea child abuse based on novel or book magic whale italy,https://image.tmdb.org/t/p/w500/sjVN0UhV7wJ0i3NzUitrNN38spK.jpg,1940
756,환타지아,"8곡의 클래식 음악에 각각 다른 성격의 애니메이션을 결합한 것으로, 총 10명이 연출을 맡고 25명이 스토리 작업에 투입된 작품이다. 판타지아에는 바흐의 토카타와 푸가, 베토벤의 전원 교향곡, 차이콥스키의 호두까기 인형, 스트라빈스키의 봄의 제전, 뒤카의 마법사의 제자, 폰키엘리의 시간의 춤, 무소륵스키의 민둥산의 하룻밤, 슈베르트의 아베 마리아가 환상적인 영상과 함께 실려 있다. 연주를 담당한 악단은 세계 정상급 교향악단인 필라델피아 오케스트라이고, 지휘는 영화 오케스트라의 소녀에도 출연한 적이 있는 세계적인 지휘자 레오폴드 스토코프스키가 맡았다.",애니메이션 가족 판타지,classical music cartoon villain orchestra musical cartoon mouse wizard,https://image.tmdb.org/t/p/w500/8PisWuh2yT3sXCwipNB0oxsoo0X.jpg,1940
11360,덤보,"아기 코끼리 덤보는 자신의 커다란 귀 때문에 항상 서커스단 식구들에게 놀림을 받는다. 처음 서커스에 출연하는 날 덤보는 귀엽게 단장을 하고 손님들 앞에서 묘기를 보이지만 커다란 귀 때문에 구경 온 아이들의 놀림만 받는다. 덤보를 끔찍이 아끼는 엄마 점보 부인은 덤보를 놀리는 아이들을 혼을 내주게 되고, 서커스장은 온통 아수라장이 되어 버린다. 이 사건으로 덤보의 엄마 점보 부인은 미친 코끼리로 낙인이 찍힌 채 서커스단을 떠나게 된다. 다른 코끼리들은 이 모든 것이 덤보의 커다란 귀 때문이라며 그를 따돌린다. 엄마 잃은 덤보는 서커스단에서 친구 하나 없는 외로운 신세가 되고 마는데...",애니메이션 가족,mother dreams nightmare suffering circus cartoon clown,https://image.tmdb.org/t/p/w500/wgI4iZ3ZYTedSkx12rbAjjqpsD3.jpg,1941
3170,밤비,"평화로운 봄의 숲속. 모든 동물들은 숲속의 왕자가 될 밤비의 탄생을 축하하러 몰려온다. 모든 이들의 축복속에 밤비는 걸음마부터 점프까지 모든 것들을 배운다. 아기토끼 덤퍼와 스컹크 플라워를 사귀고 엄마 사슴과 함께 간 초원에서 암컷 아기사슴 펠린을 만나며 숲 속 생활에 적응해 간다. 그러던 여름의 어느 날, 사슴들이 일제히 달려가는 것과 뿔달린 수사슴들이 싸우는 것을 보고 덩달아 따라간 그곳에서 엄마와 함께 숲속의 왕자로 존경받는 수사슴의 위엄을 감상한다. 아름다운 뿔이 달린 커다란 수사슴은 밤비를 의미심장하게 보며 지나간다. 그러던 와중 수사슴은 사냥꾼들이 온 것을 알게 되고 사슴들을 대피시키는데...",애니메이션 드라마 가족,loss of loved one cartoon forest coming of age best friend cartoon rabbit forest fire,https://image.tmdb.org/t/p/w500/z2ZN809cWCHWPWCg97nUC2HK9Yy.jpg,1942
11224,신데렐라,"친절하고 상냥한 아릉다운 아가씨 신데렐라는 맘씨 나쁜 새 엄마와 시기심 많은 언니들의 구박을 받으면서도 희망을 잃지 않았다. 친구들이라고는 거스와 자크같은 생쥐뿐이지만 그들은 무슨 일이든 신데렐라를 도왔고, 왕자님의 무도회가 열리던 날에는 착한 요정이 나타나 신데렐라에게 아름다운 드레스와 호박으로 만든 마차를 준비해 주었을 때에도 말이 되어 신데렐라와 동행한다. 궁정의 무도회에 참석해서 멋진 왕자님을 만난 신데렐라. 하지만, 시계가 12시를 가리키자 마법은 풀려나고 신데렐라는 유리구두 한짝을 떨군 채 왕자님에게 인사도 못하고 도망치듯 궁전을 빠져나오는데...",가족 판타지 애니메이션 로맨스,princess based on novel or book loss of loved one mouse ball fairy cartoon,https://image.tmdb.org/t/p/w500/xJsPQJeQjnD9llyDVVlANQvWdPZ.jpg,1950
12092,이상한 나라의 앨리스,"나른한 여름 오후, 언니가 읽어주는 역사 얘기를 들으며 졸고 있던 꼬마 소녀 앨리스는 하얀 토끼가 뛰어가는 걸 보고 뒤를 쫓아간다. 토끼 구멍 속으로 따라 들어가 보니 그곳은 완전히 신비한 세계다. 작은 문의 손잡이는 말을 하고, 테이블 위의 약병을 마시니까 앨리스는 병속에 들어 갈 정도로 아주 작아져서, 자기가 흘렸던 눈물의 파도를 타고 열쇠 구멍을 지나간다. 앨리스가 도착한 곳에서는 뱃사람 도도를 비롯한 한 떼의 무리가 파도치는 바닷가를 달리며 젖은 몸을 말리자는 노래를 부르고 있었다. 물 속에서 아무리 빙글빙글 돌아봤자 몸은 마르지 않는다고 얘기를 해 봐도 듣지 않는데...",애니메이션 가족 판타지 모험,dreams based on novel or book heart queen villain time based on children's book,https://image.tmdb.org/t/p/w500/l6n36WrAYEwev7ClKBXK1lw8jQb.jpg,1951
10693,피터 팬,"행복하고 아름다운 웬디의 집. 그곳엔 상냥한 어머니와 듬직한 아버지, 귀여운 동생 존과 마이클, 그리고 온순한 개 나나가 살고 있다. 별이 밝게 빛나던 어느날 밤, 어머니와 아버지가 파티에 간 사이 웬디의 집에 꿈의 섬에서 고아들과 함께 살고 있다는 피터팬이 찾아온다. 피터팬은 얼마 전 웬디의 방 창문을 기웃거리다가 나나에게 빼앗긴 그림자를 찾으러 온 것이었다. 남몰래 숨어들어 그림자를 찾아내려 했지만, 요리조리 도망치는 그림자를 잡으려다 오히려 웬디에게 들키고 만다. 피터팬의 그림자를 꿰매어준 인연으로 피터와 웬디, 존, 그리고 마이클 모두는 부푼 가슴을 안고 꿈의 섬을 향해 날아가게 된다.",애니메이션 가족 모험 판타지,"london, england sibling relationship flying becoming an adult magic crocodile clock",https://image.tmdb.org/t/p/w500/tZTP5aLAPWxR3Y4rTAzNDQX0s4v.jpg,1953
10340,레이디와 트램프,부잣집에 사는 어여쁜 코커슈파니엘 강아지인 레이디는 주인아저씨와 아줌마의 사랑 속에 행복하게 자라 요조숙녀가 되었다. 그러나 아기가 태어나고 주인부부가 여행을 떠난 사이 집을 봐주러 온 새라 아줌마는 데려온 고양이만 예뻐하고 숙녀를 애완동물 가게에 맡겨버린다. 금세 천덕꾸러기 신세로 전락하고 재갈을 물리는 고통을 당하자 그곳에서 도망친 레이디는 거리의 강아지 트램프를 만나 사랑하는 사이가 된다. 개 수용소에 갇히기도 하는 등 천신만고 끝에 집으로 돌아돌아와 묶여 지내는 레이디. 트램프와 함께 들쥐로부터 아기를 구하게 되는데...,애니메이션 가족 로맨스 모험 코미디,love of one's life spaghetti female lover cartoon villain kiss cartoon cat,https://image.tmdb.org/t/p/w500/bUiqU7U3Bjm0xT45sFnaDSgX6hs.jpg,1955
10882,잠자는 숲속의 공주,"오랜 기다림 끝에 스테판 왕과 왕비 사이에 오로라 공주가 태어난다. 왕은 이 날을 축제일로 정하고 온 왕국은 기쁨에 들떠 있다. 요정 프로라, 포나, 메리웨더는 아기에게 한가지씩 축복을 내려준다. 프로라는 아름다움을, 포나는 고운 목소리를, 그리고 메리웨더가 영원히 행복하라고 축복을 내리려는 순간, 축제에 초대 받지 못한 데 앙심을 품은 악의 요정 멀레피센트가 나타나 공주가 16세 생일날 물레바늘에 손가락이 찔려 죽을 것이라는 저주를 내리고 사라진다. 왕은 공주에게 닥쳐올 재앙을 막고자 나라안의 모든 물레를 불태우라고 명령을 내리고, 요정들은 마녀의 눈을 피해 숲속에서 공주를 기르도록 왕비를 설득하는데...",판타지 애니메이션 로맨스 가족,witch princess magic kingdom fairy tale sleep fairy,https://image.tmdb.org/t/p/w500/t1y45VvDkkrCL3Po9Lk9DoJ8sQt.jpg,1959
